text	label
What a rollercoaster	excitement
So happy for [NAME]. So sad he's not here. Imagine this team with [NAME] instead of [NAME]. Ugh.	joy
Yesterday, I had to go to work. It was my first day back to work after my weekend, so I was pretty frustrated and sad. It was a pretty boring day overall.	sadness
My son received early admission to the college of his choice today! In addition he received a scholarship!	pride
my work is important and noticeable but extremely boring.   I would like a different job but it does pay the bills and gives me less headaches than other jobs.	disgust
Yesterday, my family and I played a bunch of board games. My husband won most of them which is not surprising in the least. We played all sorts of games including Life, Clue, Mouse Trap and more. It was relaxing and such a happy, fun filled moment.	joy
What makes you say that?	anger
I bought the double barrel and fully upgraded it and now it's one of my favorite guns.	pride
Ironic. He could save others from secrecy-enabled corruption, but not himself.	surprise
Hand ur phone to a buddy and let them send the text asking her out. Worst thing is she says no, but it's better then not knowing 	disgust
My furnace doesn't work. It might cost around $1,500 to replace it, because it is old. I am working my behind off on Amazon Mechanical Turk and eBay to earn the money.	sadness
My family was the most salient part of my day, since most days the care of my 2 children occupies the majority of my time. They are 2 years old and 7 months and I love them, but they also require so much attention that my anxiety is higher than ever. I am often overwhelmed by the care the require, but at the same, I am so excited to see them hit developmental and social milestones.	joy
Me too! First time in a couple of years!	joy
Yesterday was my birthday and I spent it with my family which is the most important thing in my life. I felt loved and pampered as if I was the most important thing in their lives as well	joy
This just makes me feel inferior at this point.	sadness
Working being able to use my skills and knowledge for the benefit and growth of our company.	pride
shockingly close to reality.	surprise
Man.. all I know is if I’m with a girl and she whips out a condom from her FUCKING SHOE it’s a no from me dog	disgust
Today I was very sick. It seems everybody I know has a cold and I thought I was above it but no. I had some orange juice and went back to bed. Not a good day.	sadness
Yesterday, I visited my parents and had dinner with them.  I hadn't seen them in a few weeks, so it was wonderful to see them and catch up on things.	joy
Integrated, Antwaarps speaking, second generation, not already wearing a scarf back then... unlikely. 	disgust
Only thing TO know is that this motherfucker is obviously living his best birdy life and good for him. Fly high little buddy, fly high. 	anger
Well they called and said there was a pricing discrepancy and they could not honor it. 😭 sad day.	sadness
"Yesterday was my ""PULL DAY"" in my workout routine. I was able to achieve 50 pull ups with 65 lbs hanging from my waist on my dip belt. I went up in weight from last week and felt great!"	joy
Go play Farmville if you can't keep it up.	anger
By far the coolest thing I've seen on this thread yet	joy
Cant wait to hear a hot take from the second dumbest people who ever loved ([NAME] ots the first if you are asking)	excitement
ohhh....	surprise
Yesterday, I finished two of the requirements for the semester. I felt relieved because the requirements were hindering me from writing my MA thesis. I also felt proud because I was able to do the tasks with flying colors.	pride
I don't really know how to explain because English is not my first language, I'm sorry.	sadness
Working for slave wages and getting screwed and exploied every day, seven days a week, is driving me nuts.  I hate it.  Why can there be any decent requestors who pay a living wage?	anger
My family is crazy I have a aunt that never stops I told her yesterday that am done dealing with this am done frighting with everyone over this I cant' make other people do what she wants or what is right and then my sister one is the cause of all our problems the other just cares about herself and friends but then she gose crazy if anyone say anything about the problems thst my other sister caused	sadness
Am I the only INTP here who cared about deadlines. It's how I got so good at crunch time and working last minute.	confusion
Gotta go fast! [NAME]	excitement
In an effort to continue to try new things as it relates to freelance work I did a gig yesterday for a show being setup in Tampa. I found that the lady that hired me treats workers as slaves, talks down to us, and doesn't appear to believe any of use had brains. I'm not certain if this was based on previous experiences or her personality, but it made for a long ten hour day and many frustrations. I never walk out on jobs, because I believe I can learn something new from every experience and try to do this with each undertaking. Tomorrow is a fresh day with new horizons to conquer, so let's see what it brings.	confusion
People who hate [NAME] really really hate him. It’s quite fascinating.	surprise
The most salient thing from yesterday was how we are a family (wife and 3 kids) but as of recent we have been very distant from each other so the household is cold and callous. Just last month our house was loud and boisterous, now its silent and uncomfortable.	sadness
his traps hide the fucking sun.	anger
Dark and funny, but not really nice guy. He has yet to call the dead girls whores for declining to sleep with him. 	disgust
Yesterday, I really felt the importance of my health. I went on a bit longer hike than usual and was very happy that I could do so. It really made me appreciate my health. With all the news of people dying and the tragedy of the Utah family murder in Mexico, it really made me aware of the importance of my own health and well being.	joy
Especially with the way they got rid of him... no real fanfare at all...	excitement
Be ready to Experience Canes Hockey	excitement
You need HELP!	surprise
Not knowing what it is, for one thing.	confusion
Yesterday was a bad day for diverticular disease, I couldn't eat, and I was in a lot of pain. Still, I was able to function through it, and I know that if I'm patient the pain will go away eventually. I just wish there was a more permanent solution.	sadness
yesterday work was like the good old days. There was so much to do and I barely had time to think. I like being busy and overwhlemed and work has been terribly boring and slow lately. Yesterday was a good day.	joy
For real! It was like a shining beacon in the night!	excitement
And only $300+ a night, beautiful but expensive.	surprise
>They split up 5 years later after an extremely messy situation with Dr [NAME]. Very very long story. I would like to hear this story	disgust
Omg lala a housewife I can’t even imagine!	surprise
Which totally makes it less funny for a person like me who has never seen this before, and laughed. 	joy
>not a cure-all. Since we don't have such a thing, is this not the next best option?	confusion
Wow I bet someone would look at this and get inspired to make a movie about aliens with [NAME]	excitement
That game hurt.	sadness
