text	label	source	type
>The ABC’s hard-hitting investigation :/ Such a sad article.	sadness	goemotions	sentence
And only $300+ a night, beautiful but expensive.	surprise	goemotions	sentence
Y'all really out here supporting authoritarian Venezuelan dictators huh.	confusion	goemotions	sentence
Would you rather I hadn't posted this article? Don't want to talk about it?	anger	goemotions	sentence
Hand ur phone to a buddy and let them send the text asking her out. Worst thing is she says no, but it's better then not knowing 	disgust	goemotions	sentence
This one tilted concrete square in my neighborhood that I keep fucking tripping over.	anger	goemotions	sentence
Disgusting!!! Where were the adults? The adults probably felt proud of their sons. Fucken toxic culture	anger	goemotions	sentence
Bringing it up now because you and many like you made this sub a hostile environment for voices of reason. Eat crow.	anger	goemotions	sentence
This is why we love Football!!!	excitement	goemotions	sentence
Im 13 I can't get a job..	sadness	goemotions	sentence
I'm just saying you are demanding things of us while being nasty yourself.	anger	goemotions	sentence
Well they called and said there was a pricing discrepancy and they could not honor it. 😭 sad day.	sadness	goemotions	sentence
Ah yes, the poison. The worst part of any poisoning. 	anger	goemotions	sentence
Yeah, and there's no better way to make a market more competitive than to regulate it more...	surprise	goemotions	sentence
TAKE ME TO YOUR CRYPT, I WANT TO PAY MY RESPECTS!	anger	goemotions	sentence
Yeah I know, it’s just wishful thinking but I would be ecstatic if it came out today	joy	goemotions	sentence
Ugly truth is, if you didnt want to be stopped you wouldnt tell anyone. It will pass. Stay strong :)	confusion	goemotions	sentence
Gotta go fast! [NAME]	excitement	goemotions	sentence
Would feel weird swiping right on a leftie	disgust	goemotions	sentence
Who still unironically says SJWs? You look like an idiot saying that.	confusion	goemotions	sentence
For real! It was like a shining beacon in the night!	excitement	goemotions	sentence
Man.. all I know is if I’m with a girl and she whips out a condom from her FUCKING SHOE it’s a no from me dog	disgust	goemotions	sentence
BUT WHY DOES SHE DO A FULL FACE/EYE LOOK THEN SKIP THE MASCARA?!?!! This has been driving me nuts.	confusion	goemotions	sentence
Wow I bet someone would look at this and get inspired to make a movie about aliens with [NAME]	excitement	goemotions	sentence
I think: Congrats! That baby will now have loving parents	excitement	goemotions	sentence
Don’t know why I didn’t think of that..but hey thanks, hero!	confusion	goemotions	sentence
I have a deep seeded hatred for close-minded people too.	anger	goemotions	sentence
"Look [NAME] is here ""Where the fuck was he an hour ago, gary, where!?"""	anger	goemotions	sentence
>They split up 5 years later after an extremely messy situation with Dr [NAME]. Very very long story. I would like to hear this story	disgust	goemotions	sentence
I don't really know how to explain because English is not my first language, I'm sorry.	sadness	goemotions	sentence
I always thought of the sound of lakes freezing on cold nights. It's pretty surreal in itself.	excitement	goemotions	sentence
This sounds dumb but do I worry about [NAME] value at all if [NAME] is a [NAME]? Obviously I steel keep [NAME].	confusion	goemotions	sentence
I like hearing about these positive encounters.	joy	goemotions	sentence
He told you that he hates your friends because they don't beat you up? That is so disgusting!	disgust	goemotions	sentence
Are you top or bottom? I need to go under you real quick I'm gonna need you to take him on bar	excitement	goemotions	sentence
Id buy those shoes and walk in the dirtiest places just to piss [NAME] off.	anger	goemotions	sentence
Self-deprecating humor is mainstream now. A lot of hot people now have hobbies and personality traits that were once almost synonymous with dumpy/nerdy/ugly people.	anger	goemotions	sentence
You should have noped out of the whole thing the moment the racist with a racist character came into the picture.	disgust	goemotions	sentence
Happy New year!	joy	goemotions	sentence
Makes my skin crawl	anger	goemotions	sentence
ORaNgE MaN bAd AnD iS HiTlEr!!!! EvErYoNe I dOnT lIkE iS HiTlEr!	disgust	goemotions	sentence
You are my beer god thank you haha	joy	goemotions	sentence
This is actually so funny, this is something id expect from Australian sports media since we're shit at broadcasting but lmao	joy	goemotions	sentence
Geez those heroes..	excitement	goemotions	sentence
"""look at you... look at you..!"" Oh, I'm bawlin. "	excitement	goemotions	sentence
Not seeing why that's depressing.	confusion	goemotions	sentence
Soooo [NAME] is f**ked	sadness	goemotions	sentence
Cus the left doesn't give a shit about people who fought for the USA!	anger	goemotions	sentence
I *want* to like R&M but people are making it really difficult	anger	goemotions	sentence
Not significantly bigger. UK is approximately the same size in terms of land mass as Romania right? Which isn't significantly bigger than Syria.	confusion	goemotions	sentence
This just makes me feel inferior at this point.	sadness	goemotions	sentence
Fcuk you.	anger	goemotions	sentence
All the people in this thread are fucking disgusting	disgust	goemotions	sentence
She is probably cheating on you. :(	sadness	goemotions	sentence
But but r/49ers said it was just bad luck!	sadness	goemotions	sentence
So can relate. Hot to the point I hated feeling good because it wouldn't last. Might as well enjoy the moment!	joy	goemotions	sentence
Whenever you get a smelly one, don't you feel ashamed? Like what disgusting thing did I do wrong?	confusion	goemotions	sentence
OH DARN IT, THANKS FOR THE REMINDER MFER!!!	anger	goemotions	sentence
Jfc, that's depressing.	sadness	goemotions	sentence
Why did I get a boner reading this? That Magnesium supplement is doing its job methinks	confusion	goemotions	sentence
Glad to help!	joy	goemotions	sentence
Ahh mate, come back any time and i'll make culturally inappropriate Third Reich gags and then we can get lit on bush chooks.	disgust	goemotions	sentence
Im color blind, i usually see blue as purple and red as green soo...	sadness	goemotions	sentence
What state and what size of city? Im curious if it's inner city of small town	excitement	goemotions	sentence
Doesn’t matter does it? It’s a joke. No need to get a designer/graphic artists involved to communicate the idea.	joy	goemotions	sentence
I said stop though. What’s with right wingers and not understanding consent?	anger	goemotions	sentence
Are you a twink?	confusion	goemotions	sentence
I cringed so much just reading that tweet, I didn't even make it to the comments. That's my fucking President. :(	sadness	goemotions	sentence
I see. Thanks again for taking the time. I'm very isolated from the world so It's good to finally talk to someone about those things.	joy	goemotions	sentence
>more money than you I seriously, *seriously* doubt that. >doing something before this guys are outta the country Prove it.	anger	goemotions	sentence
Unfortunate for him, but I'm bringing up players. >AND they can just stop being a support.	sadness	goemotions	sentence
I always suggest Laser Quest downtown, it's a blast!	excitement	goemotions	sentence
Im really sad, and there is alot more goin on but i dont know how to tell it.	sadness	goemotions	sentence
Yeah it was a fun game. :D	joy	goemotions	sentence
My nipples are rock hard right now, just ruined my shirt. 	disgust	goemotions	sentence
Lol good talk	joy	goemotions	sentence
I didn't know that newborn babies eat and breathe through an umbilical cord. TIL.	confusion	goemotions	sentence
You should come. You'd enjoy it.	joy	goemotions	sentence
wow, we really live in future	excitement	goemotions	sentence
You need HELP!	surprise	goemotions	sentence
I’m so sorry. You deserve so much better.	sadness	goemotions	sentence
Brutal piece!	disgust	goemotions	sentence
One of the gayest shirts I have ever seen...	excitement	goemotions	sentence
> It's upsetting. What can be done? We'll have to take it to the high courts, let them decide!	confusion	goemotions	sentence
Okay I’ll call them tonight and cry on your behalf.	sadness	goemotions	sentence
[NAME] damn it	anger	goemotions	sentence
I’m glad you are here. You got this.	joy	goemotions	sentence
I once had a guy yell something obscene from the window of his truck and throw a half full beer can at me too... good times	joy	goemotions	sentence
I very happy with my character. I took my sweet ass time picking one that I liked.	joy	goemotions	sentence
Look at that shit-eating grin	anger	goemotions	sentence
Welcome to the new normal.	joy	goemotions	sentence
So true it hurts.	sadness	goemotions	sentence
Like [NAME] said at the very end of the stream, “You’re still here and you can still do amazing things.”	joy	goemotions	sentence
I know but for that one moment he was more than that guy who snuck in [NAME] room at night and wore his helmet	confusion	goemotions	sentence
He is going to hate 2019...	anger	goemotions	sentence
Say what you want about me, I can take it... but stop slandering poor defenseless [NAME]...	disgust	goemotions	sentence
Fidget spinners are cool again	joy	goemotions	sentence
Are you this awful about everything that isn't your own preference?	anger	goemotions	sentence
He’d definitely get dropped at some point and then all hell will break loose	sadness	goemotions	sentence
Good dad, manipulative son.	sadness	goemotions	sentence
What a homie.	surprise	goemotions	sentence
My goodness. Your such a fucking manchild.	anger	goemotions	sentence
it is dangerous to date men - read the news - women get killed by male partners and ex partners very frequently. Women are amazingly brave.	sadness	goemotions	sentence
cool... Sorry bro	sadness	goemotions	sentence
this is so niche but i still felt that shit in my bones	disgust	goemotions	sentence
**You are breaking the car!**	anger	goemotions	sentence
It’s possible that the dog just escaped. Especially since it might be excited by the massive crowd running	excitement	goemotions	sentence
Ugh. The Google Plus BB community is the absolute worst!!!	sadness	goemotions	sentence
If you had a giant rock on your land, and you couldn't stop people climbing, wouldn't you be pissed?	confusion	goemotions	sentence
ohhh....	surprise	goemotions	sentence
> We're angry, but we don't want to be labelled as violent nutters.	anger	goemotions	sentence
Damn. I want to see some of those comments!	anger	goemotions	sentence
> The porn that I downloaded was Brazzers produced. In case you don't know, Brazzers is ***anal*** about their IP. Ha get fucked.	anger	goemotions	sentence
Men don’t have it worse but at least society cares about women.	anger	goemotions	sentence
I've had a crown and bracelets made for me with old ad. Glad I'm not alone	excitement	goemotions	sentence
Listen to yourself. What other things do u want to shove down the throats of others in the name of tolerance and humanity? [NAME].	anger	goemotions	sentence
Well 216 is out now and Im crying. [NAME] why?	sadness	goemotions	sentence
They look so soft and comfy.	joy	goemotions	sentence
My [NAME], check your corners people. I guess it's harder on console to let the team know though.	sadness	goemotions	sentence
"If that's true, then you can't call what I would have with option 1 ""omnipotence""."	confusion	goemotions	sentence
I tripped off 540mg of Robocough and my oil pen last night. It was absolutely wild like damn	surprise	goemotions	sentence
More rudeness, misogyny and sexism from [NAME]. If it wasn't so predictable it would be upsetting. [NAME]. 	anger	goemotions	sentence
Is she dead? She’s dead isn’t she...	confusion	goemotions	sentence
Sadly I think this is true & maybe this is the incentive adults need to get into action	sadness	goemotions	sentence
Grow up.	anger	goemotions	sentence
Im sorry I said something negative about your beloved Valve.	sadness	goemotions	sentence
Nope! It doesn't matter how stupid you were being.	disgust	goemotions	sentence
Maybe we will see each other over on that thread and everyone can openly mock me. You should submit it!	confusion	goemotions	sentence
“Wow. Just .. wow. Read a book, sweatie!”	surprise	goemotions	sentence
You have another new follower 😊 love your work!	excitement	goemotions	sentence
Plot twist: [NAME] is [NAME] estranged father	surprise	goemotions	sentence
Good on you dude. I'm west coast, but I'd love if anyone ever finds themselves in Seattle, I extend this offer.	excitement	goemotions	sentence
Because people that comment on YouTube videos are toxic, filthy heathens.	anger	goemotions	sentence
[NAME] did a photo shoot with the first presidency. Hilarious	pride	goemotions	sentence
Sucks to suck	anger	goemotions	sentence
That's a big meal.	joy	goemotions	sentence
She's a ~~chill cat~~ woman of few words.	joy	goemotions	sentence
I tip my invisible hat anytime I drive past this dealership. What an unfortunate surname.	sadness	goemotions	sentence
My cat still loves me after I tripped over them in the dark on my way to the bathroom how are animals so amazing	excitement	goemotions	sentence
Then I'll be accused of being a racist.	anger	goemotions	sentence
"Go look at the top posts of those subs. How far do you have to scroll to get to a ""men are trash"" post?"	confusion	goemotions	sentence
This is the worst I've ever seen. It really is	anger	goemotions	sentence
Why would they lie?	confusion	goemotions	sentence
I think it is more likely that you simply do not know what science is.	confusion	goemotions	sentence
Tbh bastion is still super op before it now I can just abuse him more	disgust	goemotions	sentence
I agree it’s disrespectful to so blatantly disregard her parents wishes but yes, otherwise too uptight.	confusion	goemotions	sentence
Does anyone have a link to the rainbow song clip? I tried looking everywhere and can't find it :(	sadness	goemotions	sentence
It is amazing how social media is allowing maniacs to congregate. Social media is very bad for us.	surprise	goemotions	sentence
I don't necessarily hate them, but then again, I dislike it when people breed while knowing how harsh life is.	anger	goemotions	sentence
Interesting, I’ll have to try it someday 	excitement	goemotions	sentence
I'm sorry but your username is absolutely horrible lol	disgust	goemotions	sentence
Interesting what you said about the crew and better to fly solo than with people who bring you down. I'll remember that.	anger	goemotions	sentence
Cheers, I live minutes away from you, will check it out some time soon.	joy	goemotions	sentence
