textid	text	label	source
44	I ate pizza for breakfast. It was good. I was satisfied. I ate it cold.	excitement	journal
45	Spending time with my friend KC is probably the coolest thing to me. I wouldnt want to spend time with anybody else.	joy	journal
46	Waking up rereshed and having a great conversation with my wife.  We talked all day and it never ceased to be insightful and amazing	joy	journal
47	I was excited about going to work.  I satisfied that I was able to get a lot accomplished.  Being able to work with my team and complete our project made me proud.	pride	journal
48	Always more to do, and I take too many breaks.	nervousness	journal
49	I used to weigh 100 pounds more than I do now, exercise is a very important thing to me.  It is a real priority in my life, and I make sure to get it done every day.  It just feels good.	joy	journal
50	I was doing some golf and I had a pretty good day the score I had was 3 under par and that is actually one of if not my gest	neutral	journal
51	After a restful sleep, woke up without alarm and fixed my coffee. I sat down to meditate on God's word. I felt calm and at peace the rest of the day.	neutral	journal
52	I spent some time with my bestfriend after spending time with Sirena	joy	journal
53	A college budy was in my neck of the woods so he invited me to meet up for dinner. We ate at a delicious bbq place. I enjoyed catching up with him and reminicsing about old times.	surprise	journal
54	God is important especially now. I am confused about the far left acting irrationally and trying to undo the election of Trump. I feel like they are trying to incite war. God gets me through these things and allows me to put these people in the background and ignore them completely.	joy	journal
55	I made my own ramen yesterday with vegetables and fresh noodles. It was very good. Then I had some home made tomato mushroom soup.	pride	journal
56	The answers in the Bible are God speaking to me which gives me directioncomfort joyhappinesspeace goodnessgentlenessmeeknesstemperance	excitement	journal
57	I watched TV with my daughter last night. We don't get many chances to watch something just the two of us. It was only a half hour but it was nice.	joy	journal
58	I felt like the shining star at the morning meeting. I had facts and figures to back up all of my data and was more prepared than any other department head.	pride	journal
59	I had parent teacher conferences for two of my children. One was excellent and is doing really well and my oldest, is doing well academically but is struggling in the classroom and socially. He receives a lot of help at school and at home, but nothing seems to be working.	pride	journal
60	Spend time with friends is always lovable and fairly salient	joy	journal
61	I eat a lot of good paste yesterday, I was very happy and excited.	joy	journal
62	I was excited and calm at the same time. It was due to a meeting that was to be the bridge to my promotion.	neutral	journal
63	I had ordered a new fitness watch on WISH. I had never used WISh for ordering anything before and the prices are very reasonable. I was not sure what the watch would be like when I got it but was hopeful. The watch arrived yesterday long before I expected it to be delivered. I was able to set it up and connect it to my phone easily. I have high hopes it will be functioning for a long time. I will have to go take a walk to check how it matches up with my old FitBit watch.	surprise	journal
64	Being helthy in life is very very important to insure that we are able to live a longer happier life. So that we can be there for our children.	pride	journal
65	I do have so funny and annoying friends	embarrassment	journal
66	Yesterday I cooked a good homemade dinner for myself. I am frustrated because I am eating less and eating healthy but not losing weight. The food was really delicious and nuroushing though, so it made me happy.	joy	journal
67	I tried a new chili recipe for my crock pot. I love to eat so I was very excited that the recipe came out well. I was excited that the new recipe was good because that is not always the case.	excitement	journal
68	I went for a walk today. Our neighbor was walking Breslin and Breslin started up my driveway when he saw me. Breslin is a dog I have had to ask the owner to keep out of our yard previously but he is a beautiful and very nice dog. I reminded Breslin to stay out of our yard and his owner called him back. I then complimented Bres because he is such a good dog. The walk was special because I have not taken one for over a week. I do not know when it happened but I used to walk every day and now it is only occasionally. I like the thought of returning to the walk habits.	joy	journal
69	I had an amazing dinner with my family. Everybody was in a great mood and shared their news and what's going on in their lives	pride	journal
70	My oldest daughter told me she was moving closer to where i live. It made me happy to know I'd get to see her more often now.	joy	journal
71	Yesterday I went to my GP to get informed of a cat scan of my hip, which has been bothering me (I'm 73). I was happy to find out that it isn't arthritis, though there is a little in the hip, but a pinched nerve. I was given some exercises I can do to help alleviate my pain. I felt good that it isn't necessarily a degenerative thing.	joy	journal
72	I had a good workout yesterday morning.  I've eeb having trouble sleeping, but had a good night sleep the night before, and had a great workout in the morning.	excitement	journal
73	Part of my son's birthday wish was to go to the indoor trampoline park. I'm not built for that. I was so tired the entire time I think I was going to a die a few times. I remember telling my wife, if I go down just assume I'm dead and find a new husband...	joy	journal
74	I had to rely on my faith in God to help get me through feelings I've had concerning a recent breakup.	neutral	journal
75	My husband is the most important thing in my life. He makes me feel loved and secure.	joy	journal
76	I tried to do some exercise yesterday beause i'm gaining weight, but don't have the motivation to do so.	sadness	journal
77	I got done with work a bit early yesterday and that made me excited as it gave some free time to do a few things that are more fun.	excitement	journal
78	The most noticeable and important thing in my life yesterday was the reconciliation with my ex-partner. We officially became a couple and spent a lot of time together becoming closer, and sharing our thoughts and ideas, and taking care of one another. I felt happy and hopeful that this time everything would work out for the best.	joy	journal
79	Had to do some work in the morning that I wasnn't expecting so that was kind of annoying.	sadness	journal
80	Basically had to complete reviews for people and give them good news for their performance for the quarter.	excitement	journal
81	I WENT TO MY DAUGHTERS BASKETBALL GAME. SHE PLAYED WELL. I ENJOY GOING TO THE GAMES AND CHEERING HER ON.	pride	journal
82	This morning I stopped onm the way to work at my usual place to get my coffee and a breakfast sandwich and this time I also got something new called a french toast stick which ended up being quite good so I will get that again it was great	joy	journal
83	I have been sick and not sleeping that well . I actually got to take a short nap, and it was fantastic!!	neutral	journal
84	My little boy read a book to me.	excitement	journal
85	The sleep was good	neutral	journal
86	My brother just found out he has lung cancer. I have been doing research on things like alternative therapy along with chemo and radiation and sending him the info. This is my older brother who I haven't seen in probably 5 years. I am planning a trip to go see him soon.	sadness	journal
87	I talked to a friend yesterday that I have not talked to in a long time. Catching up with him was really interesting and exciting. I wish we could do that more often.	excitement	journal
88	When I spend time with my partner and daughter, I feel calm, happy, and satisfied. We argue sometimes, but mostly we are super close and love hanging out together.	neutral	journal
89	Yesterday my children and grand children came over for a cook out. I had not seem them all together for a few weeks so it was great to get them all together. I have a son, daughter and three grandchildren, two boys and a girl.	joy	journal
90	Arriving to work, feeling calm, however, felt anxious about the amount of work needing to be accomplished for the day. I felt I could get it all done and feel I had accomplished my goal for the day.	nervousness	journal
91	Having faith keeps me feeling steady and in a good mood.	pride	journal
92	teresa finally called back and it took her all of 10 minutes to get worked up again. I'm a about sick of this yeast and bi-polar  BS. I'll just handle it like the last 27 years. These autumn/holidays annual depressions are so predictable. She was rewriting history again. I wish she would quit taking every subtle difference of opinion as a personalttack!	nervousness	journal
93	I wake up each morning and thank God for allowing me to have another day with my family.  Being able to get out of bed, got to work and do my usual activities of the day.  So many people do not have that choice and would give anything just to be able to rise out of bed.	neutral	journal
94	I walked two miles raound my neighborhood. It felt great and enegized me.	pride	journal
95	Made gyros for dinner, forgot feta but was able to pick some up. It was great.	joy	journal
96	I found a new pokemon game edit online and I modified it to suit my needs. It was a nice time because I was able to figure out exactly what I wanted and a way to do it that circumvented my limitations in editing someone else's program.	joy	journal
97	I love my writing job and I am starting to do the reviews for the holidays.  I had a very special children's book for Christmas to write the review for yesterday and I was proud of my review and the response that I got from the publicist for whom I work.	pride	journal
98	I knew God would help me through whatever was going on and so I didn't have to be anxious	neutral	journal
99	I worked out yesterday and was able to accomplish both my aerobic and weightlifting goals so for that reason I felt I had a satisfying workout.	joy	journal
100	I had a great workout today. Everything flowed and I felt strong. I warmed up by playing some basketball then ran a couple of miles and then did sprints. I felt alive and working out really cleared my mind today.	neutral	journal
101	I helped my parents with a project. I was happy that I helped them complete what they wanted to do. It feels good to be able to spend time with my parents as they are getting older.	pride	journal
102	I went to bed an hour and a half earlier than I usually do and my body really enjoyed the extra rest	neutral	journal
103	Although one might think pizza is not good for you, I basically stuck to my plan of trying to only eat once a day for the most part. I ate the pizza and then later I ate a banana with peanut butter. I was happy because I didn't over eat. I ate the right amount of food which made me happy.	pride	journal
104	My sleep was particularly good last night. I needed a good night's rest, because I haven't been getting a lot of sleep in the past week. Plus I am trying to fight off a cold and germs, so I think it was very important that I slept well last night. I was pleased by how refreshed it made me feel.	joy	journal
105	"My dad was rushed to the hospital so health and fear were the most salient things.  Luckily it was ""just"" a bleeding ulcer"	fear	journal
106	I got to spend part of the day with my best friends as I was helping them work on an outside project at their house. I felt good about socializing with them and I enjoyed helping them with the project.	excitement	journal
107	I came home yesterday to find the lawn all picked up. It was nice seeing the house and property looking ship-shape. My mom had come by to do this without my knowing, I found out later.	joy	journal
108	My husband came home from work with a cold. He sounds awful, and he didn't take anything for it. I am anxious that I am going to get sick also.I don't want his cold.	nervousness	journal
109	Yesterday there was enough turk work for a change. It has been very slow recently. At least I have a chance of meeting my bill payments next week but I have to sit on the computer every possible second to grab possible work.	nervousness	journal
110	I was really satifisfied with what I ate for dinner and was really happy afterwards.	neutral	journal
111	After work, my husband and I put our daughter to bed and decided to start painting our new home. We worked together as a team to tape and start cutting in. We got a lot more done than I thought we would. We spend the night laughing and catching up with each other since he works pretty demanding hours.	nervousness	journal
112	I had taken and participated in a new excercise class, that primarily would target the whole body in addition to cardiovascular excercise. It was a difficult experience, but I managed to perform all the excercises to a great ability, without feeling overtly exhausted or sore. Afterwards, I felt empowered and happy for participating in class, feeling motivated to pursue similar experiences in the future.	joy	journal
113	My husband cooked a porterhouse steak by pan frying it. It was absolutely delicious. A great dinner.	joy	journal
114	I enjoyed baking scones yesterday. The recipe was a new one -- a copycat of a scone I can't get at a particular store any more -- and it turned out really well (and was simple to make, too). It's terrific!	neutral	journal
115	I had a good selection of tasks yesterday, and they exceeded my goals (in terms of hours worked and earnings.)  Knowing that the weather had turned cold and miserable, and that at the end of the week my work day's were going to be interrupted by other responsibilities, it was that much more satisfying that I could get more than the average amount of work accomplished yesterday.  I was also able to concentrate on/organize some upcoming chores and personal projects, especially some photography I want to accomplish. Earning more money now puts me at ease about missing some work time later this month when I pursue these types of personal projects.	neutral	journal
116	There was a short Birthday celebration for my niece yesterday. It went pretty well, and she had a good time. I wish I could have enjoyed the time more, but I was focused on working and the problems I was having through the day.	joy	journal
117	I was able to take a really good nap the other morning. I was able to cuddle with my cat and it felt so relaxing and calm. It's exactly what I needed.	neutral	journal
118	I had Chipotle for dinner which is usually something that I can not afford but I splurged a bit and it was delicious.	joy	journal
119	I woke up early and exercised in the morning yesterday. I've been trying to make it a habit, so I was proud of myself for keeping it up. I was also very energized after I finished exercising! I think I'll be able to keep up exercising every morning, it was pretty fun and it'll be good for me in the long run.	excitement	journal
120	Yesterday I was able to get to work on time. I did all my task on time and was able to leave early. I was proud of myself for completing every task. It was a smooth day overall.	pride	journal
121	I took up power walking two months ago and I've lost weight and feel great. This is one of the most important things I've done for myself in years.	neutral	journal
122	My brother picked me up from the hospital and managed to soothe my fears a bit	neutral	journal
123	By recreation, I mean my time at night to kick back in front of Netflix for a couple of hours and take in the Walking Dead series.	joy	journal
124	I got a lot accomplished at work that I didn’t think I’d get done. At the end of the day I felt very proud of myself even after feeling anxious earlier in the day due to all the people stopping by my office to talk.	nervousness	journal
125	i made a huge breakfast	excitement	journal
126	I looked forward to my running days because I get to hang out with my buddies from college and keep in touch with them while enjoying nature and the thrill of running on the trails.	excitement	journal
127	After talking with someone, they suggested I had pulled a muscle and to take some advil. I took their advice and felt relief quickly. I feel so happy and relieved that it is not anything serious.	joy	journal
128	I cooked dinner for myself and my wife. We both had a long day and I hadn't eaten very much. I was happy to get some food and it turned out to be very tasty. It was a good way to end a long day.	neutral	journal
129	I got some rest that refreshed me after a tiring and bothersome day, so it was a nice step forward somewhat.	neutral	journal
130	I spent time in prayer and reading my Bible yesterday morning, then spent time listening to a sermon yesterday afternoon.  It re-energized my faith and gave me deeper insight into God and my faith.  It brought me peace, joy and satisfaction.	neutral	journal
131	Yesterday I found out I was shortlisted for a big promotion at work. I've been at this job for 3 years and was so excited to hear that my efforts might pay off and help me to make a better life for myself, my husband, and my baby. to hear that	pride	journal
132	I really needed to catch up on sleep so I took a nap in the middle of the day and that felt great.	joy	journal
133	Without my health, I have nothing to sustain long term happiness. I feel very secure in my health.	pride	journal
134	I have been having a little trouble sleeping and I had a busy day yesterday.  I managed to get 7.5 hours of good sleep yesterday.  I made my whole day because I wasn't tired at all for the whole day.	neutral	journal
135	i am very healthy	pride	journal
136	I had a shift at my local Buddhist community Center in the evening. I wasn't sure if my friend would be there, since he took his girlfriend to Mexico for her operation. But he was there with her and we got to talk about her operation, which went well. He told me he saved thousands of dollars by taking her to Mexico for it, rather than having it here. I was happy to see she came through it ok and that they were back home.	joy	journal
137	I was angry on my partner as he did not pick up my call when i called him to share my successful work done at my office.	anger	journal
138	Yesterday I worked on a way for my family to see my private photos on Flickr without registering on the site. I found out that anonymous guests can see the photos but they can't comment. And the comments are the main reason for the photo-sharing! Very frustrating.	confusion	journal
139	It is important to get a goods night sleep	neutral	journal
140	I had a short but nice conversation with my husband while enjoying some TV with him. It's good to start my day by talking with him, it sets the mood for the whole day and makes it go better.	joy	journal
141	I accomplished an important assignment at work, which made me super happy and proud.	pride	journal
142	My wife and I made a pot of chili with venison spicy sausage. It was the perfect meal for a crisp evening. Some of the best chili I ever had.	joy	journal
143	After my doctor's appointment, I went over to my parents house to catch up. As always, I felt happy seeing them and getting to chat with them about how our lives were going.	joy	journal
144	I made a dish from my grandma's recipes that came out great. It made me nostalgic and happy.	joy	journal
145	I had to take my roommate to the hospital. We weren't sure whether she had a problem with her appendix, or maybe a urinary tract infection or kidney stones. She has no insurance so we had to go to the emergency room. Fortunately, they saw her within 30 minutes because she was in pain. It turned out she had kidney stones. I went back home and waited for her to call me. When she called, we had to go to the hospital pharmacy to pick up four prescriptions, which I had to pay for. Fortunately, since she is poor, they only cost $4 apiece. She went straight to bed when she got home.	nervousness	journal
146	My husband is the best ever and always makes me feel wanted and loved!	excitement	journal
147	It's a great feeling to just get a great jog in. I love being able to just release stress and get an early morning jog in.	joy	journal
148	i got a new position	pride	journal
149	My family is the most important thing in my life. They provide calm, comfort and love.	neutral	journal
150	I was at work for most of yesterday and was fairly busy. I was anxious to meet a deadline; however, the work was mind numbing data entry stuff. It took up the bulk of my time and mental energy.	nervousness	journal
151	Yesterday I had to go to the dentist and was worried about my oral health. You see, 3 months ago, when I went for my teeth cleaning, the checkup was not so good so I was worried it might be even worse, so I was anxious heading into the appoointment.	nervousness	journal
152	I enjoyed my time with my boyfriend because it was our one year anniversary so we just spent a lot of time together and set up Christmas decorations.	neutral	journal
153	The chicken wings I made yesterday were just awesome	excitement	journal
154	Having a great nights sleep is great, we all deserve to get a great nights sleep, and last night I totally was feeling the great amount of sleep I got last night.	neutral	journal
155	Got to spend the evening with my family.  We were just chilling and chatting about our days (work and school)	joy	journal
156	I was so tired when we got home last night that I was in bed and asleep by 8:30 pm.  Falling asleep when I'm so tired is sometimes a little difficult, but last night I just drifted easily off.  What a nice way to end the day and prepare for the next.  I'm so happy that I don't have sleeping problems.	neutral	journal
157	My work yesterday involved working around the yard, mowing, trimming branches and bushes, sweeping the walk and patio and finally cleaning and refillling all of the bird feeders.  It is very enjoyable work for me.  I love being outdoors.  It's also exercise as I built up a sweat once or twice.  When I was through, it looked and felt like a good accomplishment.  The yard looks great and our curb appeal is really good.	neutral	journal
158	Work made me feel like I had a purpose but also frustrated and annoyed because there are so many things going on at once.	nervousness	journal
159	One of my very favorite activities of the day is the walk I take first thing in the morning with my dog Lucy. My home is tucked into the southern most corner of a forest and there are hiking trails literally at the edge of my backyard. We took a long walk, smelled the trees, enjoyed the beauty and I absolutely love watching my precious dog running and enjoying nature.	joy	journal
160	I had a very good result in my last exam	excitement	journal
161	I got some good news regarding some blood work I had done. I have been working hard at getting my numbers where they should be, and this proved that my hard work has been paying off. I want to keep doing what I am doing and try to improve even more than I have already.	pride	journal
162	the food I made was good and made me happy and enjoy my day	joy	journal
163	It turned out to be a sunny and cooler day today, not rain like was expected. I got a really great hike in with the dog and was able to wear her out so she was behaved.	neutral	journal
164	It was a happy day because I had a nice phone call from my sister and mother. I spent the evening with my husband and kids.I am a blessed person	joy	journal
165	My children telling me about what happened in school	joy	journal
166	I had pizza from a place I did not have since childhood, it was an interesting experience.	surprise	journal
167	I made a pot roast, which cooked in the slow cooker all day.  It’s my favorite meal and the smell of it cooking, brought back a flood of great memories of growing up.  The smell of wonderful food cooking is very enticing to me and I waited all day, anticipating what a great supper it would be.	joy	journal
168	I felt so satisfied yesterday. It was one of those days where you are really reassured in your love.	excitement	journal
169	I'm working on a short story in my free time. I find it very difficult, but am chipping away at it. I spent about a half hour on it yesterday. I'm not sure I improved it at all or added much, but I'm glad I'm staying close to the piece.	pride	journal
170	Food was rather salient as well because once I did get home last night I had a really big plate of spaghetti and metballs. That has always been a favorite meal of mine since I was very young. It's been a rather long time since I was able to eat that sort of meal so I really enjoyed it and found it realxing when I did. It reminded me of many times in the past when I got to eat like that.	neutral	journal
171	I was happy to get to spend time with my family and enjoy time with them	joy	journal
172	I had a really good dinner yesterday with my wife and my son. We were really able to relax and connect.	neutral	journal
173	I didn't get a good night's sleep as I am still jetlagged. I am not sure when I will return to normal.	nervousness	journal
174	I had a chance to meet one of my friend from the high school. It was a great nostalgic moment.	joy	journal
175	Had a test i wasnt ready for, and im not sure how i did on it.	nervousness	journal
176	I got to watch some tv with friends. We watched our favorite show which has been on for almost twenty years. We laughed and had a good time.	joy	journal
177	The most salient thing yesterday was relationship to my family. I talked to my daughter in the morning, to my son in the afternoon, and spent all day with my wife. I had a very enjoyable wonderful day.	joy	journal
178	I spent time with my family after work and its is always the best part of my day.  I feel at home with my family, content, happy, and joyous.	neutral	journal
179	My family is crazy I have a aunt that never stops I told her yesterday that am done dealing with this am done frighting with everyone over this I cant' make other people do what she wants or what is right and then my sister one is the cause of all our problems the other just cares about herself and friends but then she gose crazy if anyone say anything about the problems thst my other sister caused	anger	journal
180	I had dinner with a friend.  It was fun to visit and catch up.  Just having someone to talk to is important for people.	joy	journal
181	That small things dont matter. That you should be thankful for the person that loves you and that you love.	fear	journal
182	I love my work, I love going out to work in the hospital to save lives and help others live better  lives	joy	journal
183	I felt very happy today because all the members of my family were together and we had a very good day eating dinner together and telling funny stories.	joy	journal
184	I had been sick for about 10 days and had not responded to treatment. So, I had to return to the doctor and seek a new direction in treatment.	nervousness	journal
185	I was able to exercise and it made me feel good to take care of my body. I was satisfied with the progress I have made with my strength and can't wait to get more stronger	neutral	journal
186	"I'm also self-employed for my ""day job"" as a freelance web developer. I completed a project yesterday that had been going on since last February. It wasn't a particularly big or complicated project it just was put on hold and delayed so many times by the client. We've finally been collaborating since the new year began on getting it over with - and yesterday it was finally completed. I'm very glad to have it off my plate I certainly don't like things lingering that long. (I'm also happy that I can collect on the balance of my pay!)"	joy	journal
187	At work today I was behind the whole day. I had to wait on the warehouse guys to do their jobs and because they are so incompetent and lazy I was behind in my job. I hate having to wait on others especially when it is just because they are lazy or inane.	disgust	journal
188	I watched a movie with my parents. It was an excellent time. I loved it. I felt satisfied and we all had a good time watching the new Godzilla movie.	joy	journal
189	i had some tacos.  they were amazing!  made me feel so happy!	joy	journal
190	I was able to spend some time with my husband yesterday, which was pretty important since he's leaving on a work trip in a couple of weeks and will be gone for a while. I love spending time with him and I make it a priority.	joy	journal
191	"I did extra Turking yesterday in addition to my regular work, and I got a wonderful surprise. I did a couple of odd typing type hits and when I checked e mail later I saw I earned 2 bonuses, 1 was 5.50 and the next was for 8.25. This was a great ""work"" type surprise."	joy	journal
192	I was away for three days and was excited, happy, and satisfied to see my son and spouse when I returned.	excitement	journal
193	i spent the evening with my boyfriend and it was nice and relaxing	neutral	journal
194	My whole day is ruined if I don't sleep properly so making sure I go to bed on time and be well rested is super important.	neutral	journal
195	I read yesterday and it helped calm me down from a stressful day at work.	neutral	journal
196	The salient 'thing' wasn't so much about God, but about the Creation/ Intelligent Design/ Evolution topics. During some down time, I browsed a news article link, which lead me to a website and some related articles, which lead me to a topic and place nearby which contains one of the largest fossil records, records which refute the basic un-questioned and false aspects of Darwin's evolutionary theories.  A vacation plan (to visit these fossil-rich areas) immediately came to mind!	nervousness	journal
197	Made a massive pot of spaghetti and fed the family last night. It was so good having them eat with us.	joy	journal
198	Yesterday we grilled salmon for dinner, even though it was 40º F outside and I had bought the salmon a week ago. We took a chance on it being bad, but it was delicious and no one got sick. I'm looking forward to grilling salmon again.	surprise	journal
199	Exercising after a busy days felt really good.  It energized me and made me somewhat proud to see that I was meeting my goal for exercising.  I felt very relaxed afterwards and was able to enjoy the rest of the evening, feeling better physically and mentally as a result.  It helped to clear my mind.	joy	journal
200	I went to my MRI to find out about the spot on my pancreas.  I did not like it because I felt trapped in the machine.  When I got home I had a vertigo attack that I think was caused by being in the MRI for so long.	embarrassment	journal
201	I had a very productive day today at work, and even picked up a new skill, which was nice.  I was very busy for most of the day, with almost no lulls, which made the day go by faster.  I feel satisfied and accomplished, which is something that doesn't happen often these days, so at the end of the day, it was a good day.	pride	journal
202	I work in a dog daycare and for 10 hours I'm in a loud smelly room with dogs fighting and defecating and trying to jump on me. Yesterday it was raining so we didn't get to even go outside for a run. I was exhausted and one of the dogs peed on my shoe, and it's the only pair I have so i knew it would mean I'd have wet shoes the next day. I was so exhausted and overwhelmed when I got off I cried in my car.	disgust	journal
203	I enjoyed watching a new movie with my son. We both really enjoyed it and sat for a long time afterwards talking about what we thought. It was nice to spend some one on one time with my son.	pride	journal
204	Yesterday was a very informative day with my son and daughter-in-law. My son told me he was starting a new semester at school and he would be enrolling on his day off Friday. My daughter-in-law was very happy yesterday and offered to bring me newspapers from work which she could get free from her boss. All in all a very pleasant day.	pride	journal
205	Had a good conversation with one of my friends on Discord yesterday.	joy	journal
206	I finally got good sleep after a long and fun day at work a day that I was so happy to experience. I ended up sleeping longer then I had expected and was happy about that and woke up refreshed.	neutral	journal
207	My friends threw me a surprise dinner party to wish me well on my move. They let me know our friendship is valued and I will be missed but they understood the need for me to go. I'll be sure to keep in touch with them and plan to visit several times a year. I also will have a very nice guest room in my new house.	joy	journal
208	I was happy about school and I felt that I was going to do great things that day and make my family proud of me.	joy	journal
209	I was hungry yesterday, even after I ate a fairly large lunch. I think it has a lot to do with being so bored and unfocused. I tend to do that more often than I should. If I can't find something to focus on, I'll snack or eat more at lunch and dinner than normal which, in turn, makes me feel sluggish and irritable. It's a vicious cycle it seems like.	nervousness	journal
210	I have attempted to make red velvet macarons a few times now and the first batch that I did yesterday failed. However my second batch turned out just right I was really proud of myself and excited for what I had accomplished.	joy	journal
