text	label	source	textid
This week has been going great. I've established good relationships with all my friends and I feel like I'm at a place where I feel loved and supported by everyone who I know. I'm hanging out with people more and it just makes me happy that a lot of people want to hang out with me to. It's always a fun time to go out and get food which is something that I do a lot.	excitement	journal	21
I went out with my friend for pho around lunchtime. It felt great to hang out with a friend as I hadn't been able to see any friends for a while. We chatted and at for a little over an hour and it felt very cathartic to be able to hang out with them.	joy	journal	22
I went to a scheduled appointment with my dermatologies yesterday for a laser treatment.  I had been told there was virtually no recovery time for this particular treatment, which proved to be the case.  I am alreay very pleased with the results an know they will be better with time.	surprise	journal	23
They don't make a lot of sense.	confusion	journal	24
I made a rotisserie chicken for dinner which we all love.  I don't eat gluten but I make fun substitutes.  We had cauliflower mac and cheese for a side dish as well as a fresh salad.  It was a lovely dinner.  I enjoyed it with my family.	joy	journal	25
It was a good day worked out felt more energized and had a good overall workout	joy	journal	26
I got together with a friend after work yesterday and spent some time with her.  It was good to see her again.  No matter what we do, we always have a good time doing it.  All we really did yesterday was talk about what's going on in our lives, but that was enough.  When you have a good friendship with somebody, that's all it takes.	joy	journal	27
That things could have been worse. That you should remember who is important to you.	joy	journal	28
The other thing I did yesterday was work. It was a normal work day, but I was fairly busy. I wasn't too excited about the projects I was working on, but I was able to make progress on them.	neutral	journal	29
I was proud becasue I was getting all my work done and finding things to finish and completes	pride	journal	30
I learned that a band I really like is coming to town, so I purchased tickets. I'm really excited to go!	excitement	journal	31
I was able to help patients improve their quality of life	pride	journal	32
I exercised to help strengthen my hips so the go back into alignment. I felt like I was making progress. I felt cracking and popping in m neck while doing the exercises. This was reassuring.	pride	journal	33
I had a long conversation with my Dad yesterday. It was interesting and enjoyable.	neutral	journal	34
I always enjoy spending time with my good friends. Although I don't have a lot of friends, the ones I do have I am very close with. I enjoy their company. Being around them makes me feel good, and we usually always wind up laughing about something.	joy	journal	35
My friend recently told me about a promotion he'd gotten. I was proud and happy for him, but I was also jealousy. I've been working on a promotion myself for a year now, and there's no sign it's coming any time soon.	pride	journal	36
I had a great workout today. Everything flowed and I felt strong. I warmed up by playing some basketball then ran a couple of miles and then did sprints. I felt alive and working out really cleared my mind today.	pride	journal	37
I made the workday go by fast and made more money than I have been in days. I was super grateful. This made me feel proud too. It gives me more hope than ever even if just for the time being. I have to try to save more money again. I felt very lost with spending and losing so much over the past few years.	pride	journal	38
I made $25 on AmazonTurk yesterday,while my goal is $10.I was happy.	excitement	journal	39
Made a massive pot of spaghetti and fed the family last night. It was so good having them eat with us.	joy	journal	40
my husband and i are 14 years together, we have been together since we were 16. we are now 31. we essentially grew up with each other. we had our child at the age of 19, so in addition we have grow up with her. my husband is a sweet, always comforting me and make sure to let me know everything will be okay. i dont think i would have been able to accomplish everything i have thus fa with out his support and unbending unconditional love. he is a blessing, wonderful father and husband. wish i could cater to him more, he really deserves every single star in the sky.	pride	journal	41
I usually enjoy watching YouTube, but I've been so focused on work lately that I couldn't. Yesterday, I would just sit there with a video playing not paying attention. There was just too much to think about. I was frustrated that I couldn't even enjoy my little time of freedom.	nervousness	journal	42
Took my wife to dinner last night to celebrate my accomplishments. It felt great to finally have the time to spend with her.	excitement	journal	43
I found out yesterday that my relative has endometriosis cancer. Somewhat, we had a feeling about the result but it still made us sad and angry at the same time. She had the symptoms and when the doctor asked them to come earlier than the scheduled appointment, we kind of got the clue. I hope she can be treated and healed.	sadness	journal	44
God was part of my life yesterday as he is everyday and everyday is great because of God.	joy	journal	45
I love my work.My co workers cooperate me.So my work is full of satisfactions.	pride	journal	46
I am looking for a job in a new career field and ding self employed task work in the meantime both did not go well yesterday and created a frustrating experience	nervousness	journal	47
For God allow me to live another on this earth with my love one I am glad and feel blessed.	neutral	journal	48
I had a great breakfast today. It gave me fuel for the day and tasted amazing.	joy	journal	49
I ate a bunch of Taco Bell. This was pretty gross and ruined any gains made during my workout.	disgust	journal	50
I was having a lot of stomach issues. I had no idea why. Maybe I was just anxious. I was thinking about an old friend for a long, long time.	fear	journal	51
I ate good quality healthy food yesterday as I do most days and it always makes me feel great.	excitement	journal	52
I worekd out yesterday after not working out ina  while.  It felt so great and it really helped my seasonal depression go away from a bit.	excitement	journal	53
Yesterday, I had a great conversation on the phone with my old friend, Matt.  We made plans for Friday night to get together and catch up.	neutral	journal	54
I managed to finish my work relatively early for the day. I'm glad because this opened up free time for me to do some after work self study with web development. My day was tiring, but I felt rewarded from what I was able to accomplish. I felt like I put in a fulfilling workday that was packed with work to keep me feeling busy without feeling overwhelmed.	neutral	journal	55
It was a major activity for me because I am sick at the moment	neutral	journal	56
Exercise is very important to me and I was afraid I would not have time to include a workout in my day yesterday. However, I was able to squeeze it in and it made me proud and satisfied for meeting my goal.	pride	journal	57
I went for a walk today. Our neighbor was walking Breslin and Breslin started up my driveway when he saw me. Breslin is a dog I have had to ask the owner to keep out of our yard previously but he is a beautiful and very nice dog. I reminded Breslin to stay out of our yard and his owner called him back. I then complimented Bres because he is such a good dog. The walk was special because I have not taken one for over a week. I do not know when it happened but I used to walk every day and now it is only occasionally. I like the thought of returning to the walk habits.	pride	journal	58
I need exercise to feel calm and relaxed. It helps me deal with the rest of the day.	neutral	journal	59
so lucky to be free of pain and feeling good	neutral	journal	60
I felt it was very important and salient because I was very happy and I love my family very much. We went out to dinner and had a great time. I love spending time and laughing with my family.	neutral	journal	61
I worked out for 60 minutes before going to work. The work out was tough but tough workouts make me feel calm and confident.	neutral	journal	62
My wife is the sexiest woman I've ever known. She surprises me nearly every night with a new bedtime adventure and finishes my day in the best way I can imagine. Yesterday was great as usual and made me realize what a gem she is.	excitement	journal	63
Eating my favorite food is always a satisfying an happy times for me. It brings back good and meaningful nostalgic feelings of a time when I was younger.	joy	journal	64
After talking with someone, they suggested I had pulled a muscle and to take some advil. I took their advice and felt relief quickly. I feel so happy and relieved that it is not anything serious.	surprise	journal	65
Yesterday I had a very good night sleep. I was very happy.	joy	journal	66
I spent the day at home, spending time with my family. I enjoyed this very much.	joy	journal	67
Again as a government employee I'm at home a lot more than normal.  I'm trying to find the best use of my time and have ensured I stay physically active.  This keeps my confidence and self-esteem at high levels.	excitement	journal	68
Sleeping makes me feel energized and prepared for the next things to come. Which makes me less anxious overall.	neutral	journal	69
My work yesterday involved working around the yard, mowing, trimming branches and bushes, sweeping the walk and patio and finally cleaning and refillling all of the bird feeders.  It is very enjoyable work for me.  I love being outdoors.  It's also exercise as I built up a sweat once or twice.  When I was through, it looked and felt like a good accomplishment.  The yard looks great and our curb appeal is really good.	neutral	journal	70
A friend had an art gallery opening. I didn't want to go because I was tired and the event was a half hour away. But I went and was supportive and had a good time.	pride	journal	71
I had dinner with my mother and sister. We had a lot of fun.	joy	journal	72
I came home from a hard day of work and not only did my husband put in wood, he also tended to the pets and made dinner. He did all of this before I got home. I was so appreciative and impressed that I actually called my best friend to talk about it.	excitement	journal	73
Trying to help my mother-in-law find a home, but it's kind of awkward because I feep like she wants to live with us.	confusion	journal	74
I had a great day at work and found out that I am going to get a substantial raise in the new year. That is always good news and goes to show that my hard work is paying off.	excitement	journal	75
Yesterday I volunteered at the thrift store that funds the homeless shelter. It makes me feel good to help even if it is just in organizing the store. I feel my little bit of work contributes to what others are doing to make the mission possible.	neutral	journal	76
My brother and nephew, who I don't see as much anymore, both came over to play basketball at the gym with me. My car has been down for a few weeks so I've been stuck in the house a lot lately. It felt really good to get out of the house and spend time with my family. We talked about a  lot of different things like basketball, life back in Pennsylvania, and work life. It felt like I refueled after spending time with them.	excitement	journal	77
school is taking longer than i was expecting. i am couple classes away from graduating with my stem cell engineering degree. but something always comes up. my mother has been sick lately, had to drop classes this semester to be able to attend to her. i have faith i will be able to finish but not in the time i thought.	nervousness	journal	78
I got to spend time with my cousins Rachael and Emily.  We are very close and we enjoy watching television shows together.  We have snacks and laugh like there's no tomorrow.  I love them so much	joy	journal	79
My family is the most important thing to me.  My time with them is rewarding and it makes me feel content, happy, and safe.	neutral	journal	80
The salient 'thing' wasn't so much about God, but about the Creation/ Intelligent Design/ Evolution topics. During some down time, I browsed a news article link, which lead me to a website and some related articles, which lead me to a topic and place nearby which contains one of the largest fossil records, records which refute the basic un-questioned and false aspects of Darwin's evolutionary theories.  A vacation plan (to visit these fossil-rich areas) immediately came to mind!	surprise	journal	81
It turned out to be a sunny and cooler day today, not rain like was expected. I got a really great hike in with the dog and was able to wear her out so she was behaved.	neutral	journal	82
My husband is the most important thing in my life. He makes me feel loved and secure.	neutral	journal	83
I took breaks along the way thru my day and reflected on what I had accomplished and how good it felt.	joy	journal	84
Had a meeting with our owner about our losses it was not good we are in the hole financially big time.	fear	journal	85
It seems like things are not going as well as I would hope but I guess it is all in God's timing	sadness	journal	86
I try throughout my day to always remember God is there watching and live accordingly and know he is there for me in prayer.	neutral	journal	87
The answers in the Bible are God speaking to me which gives me directioncomfort joyhappinesspeace goodnessgentlenessmeeknesstemperance	excitement	journal	88
Yesterday I got the best sleep of my life. I finally caught up on some much needed sleep and feel refreshed and ready to go.	neutral	journal	89
I worked out yesterday and was able to accomplish both my aerobic and weightlifting goals so for that reason I felt I had a satisfying workout.	joy	journal	90
I really love my job.  I have a good time doing it and am very happy.	joy	journal	91
I exercise almost every day and it always leaves me feeling strong and healthy.	excitement	journal	92
Work is work. There are ups and downs but yesterday was good. I got a lot of things done and I had a good time occasionally having a chat with my boss about non-work stuff. It was a good day at work.	neutral	journal	93
Yesterday I stopped by Subway while my clothes were in the dryer at the laundromat. I ordered a six inch tuna melt with spinach tomato jalapeno and pickles. It was one of the greatest tasting sandwiches I have had in a long time and it was healthy eating.	joy	journal	94
Last night for dinner we visited our favorite local fish and chips restaurant.  The meal was outstanding as the ingredients are always fresh and cooked to perfection.	joy	journal	95
At work today I was behind the whole day. I had to wait on the warehouse guys to do their jobs and because they are so incompetent and lazy I was behind in my job. I hate having to wait on others especially when it is just because they are lazy or inane.	disgust	journal	96
I was able to accomplish a big quota at work and that made me feel both satisfied and proud of myself to know that I actually accomplished what I have being working so hard for.	pride	journal	97
I spent the day with my friends going out to eat for dinner. It wss very fun and memorable of a day for me.	excitement	journal	98
It was really nice to get out of the house to hike with friends. It was a good use of my time and I enjoyed it immensely. I was so tired afterwards that I didn't have any energy to do much else but its ok, the hike was totally entertaining.	neutral	journal	99
I had a slow morning of work because I work for myself. I was feeling a little nervous that I wouldn't make very much. I told myself I need to push on, and I ended up hitting my daily goal and going over. I felt very proud of myself for persevering.	nervousness	journal	100
I was able to get a lot done yesterday at work and I was very productive.	pride	journal	101
"I did extra Turking yesterday in addition to my regular work, and I got a wonderful surprise. I did a couple of odd typing type hits and when I checked e mail later I saw I earned 2 bonuses, 1 was 5.50 and the next was for 8.25. This was a great ""work"" type surprise."	excitement	journal	102
I had an amazing dinner with my family. Everybody was in a great mood and shared their news and what's going on in their lives	excitement	journal	103
It is important to get a goods night sleep	neutral	journal	104
I was satisfied to eat some scrumptious food.  It was wonderful to taste the good flavors.  I did feel guilty though that I ate all those calories.	joy	journal	105
teresa finally called back and it took her all of 10 minutes to get worked up again. I'm a about sick of this yeast and bi-polar  BS. I'll just handle it like the last 27 years. These autumn/holidays annual depressions are so predictable. She was rewriting history again. I wish she would quit taking every subtle difference of opinion as a personalttack!	anger	journal	106
The second most important thing that happened yesterday was that I was able to catch up on much needed sleep that I had missed out on earlier in the week. With the time change combined with my exhaustion, I was able to fall asleep very early. I felt comforted and restful curling up in my bed and getting some rest. However my dreams were not that great and left me waking with a feeling of anger as I cleared my head and realized that it had only been a dream.	anger	journal	107
Yesterday my friend in a game we play on-line together,  gifted to me let us call it a more powerful position via the work done by another gamer who sold my friend his position.  So now I am ranked the 63rd most powerful player in the game. I am very excited but now I have to learn and master the game in a totally different way.	surprise	journal	108
Waking up rereshed and having a great conversation with my wife.  We talked all day and it never ceased to be insightful and amazing	joy	journal	109
My friends are there for me and do things that make me feel better through out the day wether it be sharing a funny social media post or talking through text.	excitement	journal	110
I also made myself breakfast after my walk which was 2 eggs, toast, and bacon. I felt good and ready for the rest of the day.	joy	journal	111
I started a new workout routine this week and it felt great yesterday.  I can actually feel a difference it makes me feel more energetic. I am certain to continue with this routine.	pride	journal	112
The dinner I made last night is my family's favorite. I love that I can cook for them and it makes them happy.	pride	journal	113
I had a really good workout yesterday. I start almost everyday with 90-120 minutes of excercise (I have missed 10 days this year) and yesterday was chest, shoulders, triceps and stair master. It was really hard and I made it through the entire thing. I was spent after and really liked the workout.	excitement	journal	114
Yesterday I chatted with my brother.  He was at the dmv so I just talked while he typed.  It was fun too see him.	surprise	journal	115
I have changed some dietary habits since the new year and someone told me yesterdat that I was just a little thinner.  I have a ways to go  but it is a good start	excitement	journal	116
A workout, dining with friends makes for a healthy girl; what's not to be happy about?!	joy	journal	117
Yesterday despite feeling a bit sick I didn't feel completely gross and could actually enjoy my day off for the most part (I didn't want to go to work super-contagious with a cough and infect all my coworkers). I had a day feeling only a little bit crappy but mostly just read a lot watched a lot of tv and fooled about on the internet doing nothing in particular. Other than feeling a little sick it was a great day - the kind of day I really really wish I could have more often i.e. I can't wait until I can retire or at least semi-retire. No time soon obviously.	sadness	journal	118
We all enjoy a family meal together and talk about our day.	neutral	journal	119
I ate to much junk food yesterday	embarrassment	journal	120
I stretched and walked around a lot. I had hurt my back last week, so I'm making it a goal to stretch and not overwork myself. I was satisfied with the amount of exercise I was able to do.	neutral	journal	121
My family are the most important part of my life. Yesterday, I got to really spend time and connect with my girls and husband. I am very grateful for all of the time that I get with them.	joy	journal	122
friends make our journey of life easier they are a true source of joy to us.	joy	journal	123
I had a good night rest yesterday which is a bit awkward, but it was enjoyable.	neutral	journal	124
I really enjoyed my meals yesterday	excitement	journal	125
I had a really good dinner yesterday with my wife and my son. We were really able to relax and connect.	neutral	journal	126
